"service_state";"service_icons";"host";"svc_plugin_output";"perfometer"
"OK";"NOT_CSV_EXPORTABLE";"euw1ws003n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 20.2 MiB, Resident memory: 30.4 MiB, CPU: 0.02%, Process handles: 1135, Running for: 20 days 9 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"euw1ws003n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 21.7 MiB, Resident memory: 32.9 MiB, CPU: 0.03%, Process handles: 1580, Running for: 20 days 9 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"euw1ws004n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 21.6 MiB, Resident memory: 33.1 MiB, CPU: 0.03%, Process handles: 1663, Running for: 20 days 11 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"euw1ws004n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 20.3 MiB, Resident memory: 31.5 MiB, CPU: 0.02%, Process handles: 1063, Running for: 20 days 11 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn1ws007n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 11.9 MiB, Resident memory: 25.4 MiB, CPU: 0.04%, Process handles: 1125, Running for: 98 days 6 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn1ws008n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 18.3 MiB, Resident memory: 30.5 MiB, CPU: 0.01%, Process handles: 882, Running for: 5 hours 54 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn1ws011n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 19.1 MiB, Resident memory: 30.6 MiB, CPU: 0.03%, Process handles: 989, Running for: 20 days 10 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn1ws016n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 19.1 MiB, Resident memory: 31.3 MiB, CPU: <0.01%, Process handles: 898, Running for: 5 hours 52 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn1ws0017.corp.ad.tullib.com";"Processes: 1, Virtual memory: 19.0 MiB, Resident memory: 30.2 MiB, CPU: 0.12%, Process handles: 932, Running for: 20 days 13 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn1ws018n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 20.5 MiB, Resident memory: 32.5 MiB, CPU: <0.01%, Process handles: 872, Running for: 5 hours 54 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn1ws020n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 19.0 MiB, Resident memory: 30.7 MiB, CPU: 0.04%, Process handles: 1590, Running for: 20 days 11 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn1ws023n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 18.6 MiB, Resident memory: 31.1 MiB, CPU: <0.01%, Process handles: 882, Running for: 5 hours 53 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn1ws024n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 18.1 MiB, Resident memory: 30.4 MiB, CPU: 0.09%, Process handles: 879, Running for: 5 hours 47 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn1ws027n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 19.9 MiB, Resident memory: 31.6 MiB, CPU: 0.06%, Process handles: 1040, Running for: 20 days 13 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn1ws031n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 19.1 MiB, Resident memory: 31.4 MiB, CPU: 0.02%, Process handles: 946, Running for: 5 hours 52 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn1ws041n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.2 MiB, Resident memory: 29.2 MiB, CPU: 0%, Process handles: 830, Running for: 5 hours 53 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn1ws043n01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 17.2 MiB, Resident memory: 29.1 MiB, CPU: 0%, Process handles: 839, Running for: 5 hours 49 minutes";"1 "
