"service_state";"service_icons";"host_ipv4_address";"host";"service_description";"sitealias";"svc_plugin_output"
"CRIT";"NOT_CSV_EXPORTABLE";"10.50.103.128";"hk1qbtrdsql02.lnholdings.com";"Check_MK";"APAC NonProd SNG2 (KDH)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.70.10.25";"sngpblrweb01.corp.ad.tullib.com";"Check_MK";"APAC Prod SNG1 (SG3)";"[agent] Communication failed: timed outCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 5.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.70.254.158";"hkg2ws0001.lnholdings.com";"Check_MK";"APAC Prod SNG2 (KDH)";"[agent] Fetcher for host ""hkg2ws0001.lnholdings.com"" timed out after 60 secondsCRIT, [piggyback] Fetcher for host ""hkg2ws0001.lnholdings.com"" timed out after 60 secondsCRIT, Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.72.48.113";"ldnpodtapp01.eur.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.74.100.168";"uk2cvcitxvdc01.lnholdings.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.75.65.228";"ldntmstest1.corp.ad.tullib.com";"Check_MK";"EMEA NonProd ARK (LDN2)";"[agent] Empty output from host 10.75.65.228:6556CRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.90.68.34";"ldn1ws0073.corp.ad.tullib.com";"Check_MK";"EMEA NonProd LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.90.68.39";"ldn1ws0078.corp.ad.tullib.com";"Check_MK";"EMEA NonProd LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.90.69.55";"ldn1ws0310.corp.ad.tullib.com";"Check_MK";"EMEA NonProd LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.90.70.88";"ldn1ws0281.corp.ad.tullib.com";"Check_MK";"EMEA NonProd LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.90.72.171";"ldn1ws8006.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Fetcher for host ""ldn1ws8006.corp.ad.tullib.com"" timed out after 60 secondsCRIT, [piggyback] Fetcher for host ""ldn1ws8006.corp.ad.tullib.com"" timed out after 60 secondsCRIT, Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.90.80.243";"ldn1ws9724.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.90.88.35";"ldn1ws5260.corp.ad.tullib.com";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.90.128.15";"ldn1ws0067";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.90.144.150";"ldn1ws0273";"Check_MK";"EMEA Prod LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.90.148.10";"ldn1ws0087.corp.ad.tullib.com";"Check_MK";"EMEA NonProd LDN1 (LD5)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.91.68.83";"ldn2ws0252n02.corp.ad.tullib.com";"Check_MK";"EMEA Prod ARK (LDN2)";"[agent] Fetcher for host ""ldn2ws0252n02.corp.ad.tullib.com"" timed out after 60 secondsCRIT, [piggyback] Fetcher for host ""ldn2ws0252n02.corp.ad.tullib.com"" timed out after 60 secondsCRIT, Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.91.69.10";"ldn2ws0058.corp.ad.tullib.com";"Check_MK";"EMEA NonProd ARK (LDN2)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.91.72.3";"ldn2ws0043.ad.tullib.com";"Check_MK";"EMEA Prod ARK (LDN2)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.91.72.201";"ldn2ws0279.global.icap.com";"Check_MK";"EMEA Prod ARK (LDN2)";"[agent] Communication failed: [Errno 111] Connection refusedCRIT, [piggyback] Success (but no data found for this host), Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.91.80.90";"ldn2ws055n02.corp.ad.tullib.com";"Check_MK";"EMEA Prod ARK (LDN2)";"[agent] Fetcher for host ""ldn2ws055n02.corp.ad.tullib.com"" timed out after 60 secondsCRIT, [piggyback] Fetcher for host ""ldn2ws055n02.corp.ad.tullib.com"" timed out after 60 secondsCRIT, Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.91.80.142";"ldn2ws075n02.corp.ad.tullib.com";"Check_MK";"EMEA Prod ARK (LDN2)";"[agent] Fetcher for host ""ldn2ws075n02.corp.ad.tullib.com"" timed out after 60 secondsCRIT, [piggyback] Fetcher for host ""ldn2ws075n02.corp.ad.tullib.com"" timed out after 60 secondsCRIT, Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
"CRIT";"NOT_CSV_EXPORTABLE";"10.91.80.227";"ldn2ws059n04.corp.ad.tullib.com";"Check_MK";"EMEA Prod ARK (LDN2)";"[agent] Fetcher for host ""ldn2ws059n04.corp.ad.tullib.com"" timed out after 60 secondsCRIT, [piggyback] Fetcher for host ""ldn2ws059n04.corp.ad.tullib.com"" timed out after 60 secondsCRIT, Missing monitoring data for all pluginsWARN, execution time 0.0 sec"
