service_state,service_icons,host,svc_plugin_output,perfometer
CRIT,NOT_CSV_EXPORTABLE,euw1ws0487.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0494.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0499.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0500.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,ldn1ws0006,service not found,
CRIT,NOT_CSV_EXPORTABLE,ldn1ws0027,service not found,
CRIT,NOT_CSV_EXPORTABLE,LDN1WS0160.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,ldn1ws0168.eur.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,ldn1ws0184.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,ldn1ws0203,service not found,
CRIT,NOT_CSV_EXPORTABLE,ldn1ws0356.global.icap.com,CrowdStrike Falcon Sensor Service: stopped (start type is auto),
CRIT,NOT_CSV_EXPORTABLE,ldn1ws0616.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,ldn1ws1049.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,ldn1ws2762.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,ldn1ws4309.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,ldn1ws7923.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,ldnpinfca01.eur.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,uk1cvcitxvda07.lnholdings.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,uk1cvcitxvdc01.lnholdings.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,uk1cvcitxvdc02.lnholdings.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,uk1cvcitxvdc03.lnholdings.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,br00winfapp02p.br.icap.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,br00winffss02p.br.icap.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,br00winfsql01p.br.icap.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,br00wsncapp01p.br.icap.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,br00wsncapp02p.br.icap.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,br01wiisweb01p.na.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,br01wiisweb02p.br.icap.com,service not found,
PEND,NOT_CSV_EXPORTABLE,br01wimsapp06p.br.icap.com,,
PEND,NOT_CSV_EXPORTABLE,br01wstoapp01p.br.icap.com,,
CRIT,NOT_CSV_EXPORTABLE,brz1ws2692.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,brz1ws4465.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,njc1ws020n01.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,njc1ws1224,CrowdStrike Falcon Sensor Service: stopped (start type is auto),
CRIT,NOT_CSV_EXPORTABLE,njc1ws1726.ad.tradeblade.com,service not found,
PEND,NOT_CSV_EXPORTABLE,njc1ws2478.corp.ad.tullib.com,,
CRIT,NOT_CSV_EXPORTABLE,njc1ws6518.corp.ad.tullib.com,CrowdStrike Falcon Sensor Service: stopped (start type is auto),
CRIT,NOT_CSV_EXPORTABLE,njc1ws6628.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,njc1ws7540.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,njc1ws7797.ad.tradeblade.com,service not found,
PEND,NOT_CSV_EXPORTABLE,njcpsomsvr01.na.ad.tullib.com,,
PEND,NOT_CSV_EXPORTABLE,njcpsossvr01.na.ad.tullib.com,,
CRIT,NOT_CSV_EXPORTABLE,rio1ws1034.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws1070.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws1213.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws1458.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws1917.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws2090.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws2297.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws2488.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws2657.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws3314.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws3344.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws3913.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws3996.corp.ad.tullib.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,rio1ws4705.corp.ad.tullib.com,service not found,
